"","cleanskill","Title.Classification","freq"
"1","analytical","Competitive-1",37
"2","analytical","Non-Competitive-5",104
"3","analytical","Pending Classification-2",86
"4","communication","Competitive-1",415
"5","communication","Labor-3",6
"6","communication","Non-Competitive-5",317
"7","communication","Pending Classification-2",141
"8","computer","Competitive-1",86
"9","computer","Labor-3",8
"10","computer","Non-Competitive-5",72
"11","computer","Pending Classification-2",45
"12","data","Competitive-1",31
"13","data","Labor-3",6
"14","data","Non-Competitive-5",52
"15","data","Pending Classification-2",66
"16","environment","Competitive-1",45
"17","environment","Non-Competitive-5",96
"18","environment","Pending Classification-2",24
"19","excel","Competitive-1",282
"20","excel","Non-Competitive-5",90
"21","excel","Pending Classification-2",83
"22","interpersonal","Competitive-1",105
"23","interpersonal","Labor-3",6
"24","interpersonal","Non-Competitive-5",82
"25","interpersonal","Pending Classification-2",102
"26","learn","Non-Competitive-5",68
"27","learn","Pending Classification-2",46
"28","license","Competitive-1",293
"29","license","Labor-3",18
"30","license","Non-Competitive-5",86
"31","license","Pending Classification-2",9
"32","management","Competitive-1",216
"33","management","Non-Competitive-5",109
"34","management","Pending Classification-2",58
"35","microsoft","Competitive-1",394
"36","microsoft","Non-Competitive-5",106
"37","microsoft","Pending Classification-2",71
"38","ms","Competitive-1",17
"39","ms","Non-Competitive-5",65
"40","ms","Pending Classification-2",26
"41","office","Competitive-1",220
"42","office","Non-Competitive-5",103
"43","office","Pending Classification-2",46
"44","oral","Competitive-1",83
"45","oral","Non-Competitive-5",107
"46","oral","Pending Classification-2",46
"47","organizational","Competitive-1",244
"48","organizational","Non-Competitive-5",75
"49","organizational","Pending Classification-2",51
"50","powerpoint","Competitive-1",78
"51","powerpoint","Non-Competitive-5",14
"52","powerpoint","Pending Classification-2",39
"53","projects","Competitive-1",74
"54","projects","Non-Competitive-5",34
"55","projects","Pending Classification-2",18
"56","public","Competitive-1",65
"57","public","Non-Competitive-5",18
"58","public","Pending Classification-2",44
"59","quantitative","Non-Competitive-5",7
"60","quantitative","Pending Classification-2",64
"61","software","Competitive-1",62
"62","software","Non-Competitive-5",35
"63","software","Pending Classification-2",51
"64","team","Competitive-1",185
"65","team","Labor-3",4
"66","team","Non-Competitive-5",82
"67","team","Pending Classification-2",80
"68","technical","Competitive-1",84
"69","technical","Non-Competitive-5",2
"70","technical","Pending Classification-2",28
"71","verbal","Competitive-1",88
"72","verbal","Non-Competitive-5",80
"73","verbal","Pending Classification-2",60
"74","word","Competitive-1",249
"75","word","Non-Competitive-5",76
"76","word","Pending Classification-2",53
"77","writing","Competitive-1",46
"78","writing","Non-Competitive-5",143
"79","writing","Pending Classification-2",16
"80","written","Competitive-1",180
"81","written","Non-Competitive-5",198
"82","written","Pending Classification-2",108
