"Agency","X..Of.Positions","Business.Title","Civil.Service.Title","Title.Classification","Level","Job.Category","Salary.Range.From","Salary.Range.To","Salary.Frequency","Division.Work.Unit","Minimum.Qual.Requirements","Preferred.Skills","Residency.Requirement","Work.Location","mean.salary","res.requirement","category_cleaned","minqual_cleaned","cleanskill"
"NYC HOUSING AUTHORITY",1,"SMOKE-FREE NYCHA LIAISON","COMMUNITY ASSOCIATE","Non-Competitive-5","00","Constituent Services & Community Programs",38333,63794,"Annual","Resident Health Initiatives","Qualification Requirements  1. High school graduation or equivalent and three years of experience in community work or community centered activities in an area related to duties described above; or  2. Education and/or experience which is equivalent to 1 above.","1.     Excellent communication skills, comfort communicating with NYCHA residents and other stakeholders. 2.     Current NYCHA resident or significant knowledge of and experience with NYCâs public housing communities.  3.     Ability to travel via public transportation to developments across NYCHAâs portfolio citywide.  Must be comfortable working onsite at various NYCHA developments. 4.     Bilingual, English/Spanish and other languages spoken widely among NYCHAâs resident population.","NYCHA has no residency requirements.","Health Initiatives",51063.5,"not required","Constituent Services ","high school","       excellent communication skills  comfort communicating with nycha residents and other stakeholders         current nycha resident or significant knowledge of and experience with nyc   s public housing communities          ability to travel via public transportation to developments across nycha   s portfolio citywide   must be comfortable working onsite at various nycha developments         bilingual  english spanish and other languages spoken widely among nycha   s resident population "
"OFFICE OF MANAGEMENT & BUDGET",1,"Analyst  Technology Budget & Management","BUDGET ANALYST (OMB)","Pending Classification-2","01","Finance, Accounting, & Procurement Technology, Data & Innovation Policy, Research & Analysis",46856,70291,"Annual","IFA","1. A baccalaureate degree from an accredited college.","DESIRED SKILLS:  â¢	Strong computer skills including proficiency in Microsoft Office software (Word, Excel, Access, and PowerPoint) and the ability to learn new technology quickly â¢	Exceptional attention to detail, as well as superb organizational and research skills â¢	Excellent interpersonal skills and the ability to maintain working relationships with staff, City officials, government agencies, and other stakeholders with utmost professionalism â¢	Outstanding written and communications skills â¢	Demonstrated analytical and quantitative skills","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","255 Greenwich Street",58573.5,"generally required","Finance","college degree","desired skills       strong computer skills including proficiency in microsoft office software  word  excel  access  and powerpoint  and the ability to learn new technology quickly     exceptional attention to detail  as well as superb organizational and research skills     excellent interpersonal skills and the ability to maintain working relationships with staff  city officials  government agencies  and other stakeholders with utmost professionalism     outstanding written and communications skills     demonstrated analytical and quantitative skills"
"OFFICE OF MANAGEMENT & BUDGET",1,"Analyst  Fiscal","BUDGET ANALYST (OMB)","Pending Classification-2","01","Finance, Accounting, & Procurement Policy, Research & Analysis",51550,65604,"Annual","Office of Budget Review","1. A baccalaureate degree from an accredited college.","QUALIFICATIONS:  â¢	Strong analytical, organizational, and problem-solving skills with an emphasis on attention to detail. â¢	Strong interpersonal skills, and the ability to maintain working relationships. â¢	Outstanding written and spoken communications skills. â¢	Ability to work independently as a self-motivator and to motivate others. â¢	Ability to work calmly and proficiently under pressure and to adhere to deadlines. â¢	Must possess strong technical skills including a proficiency in Microsoft Office software (Excel, Word, PowerPoint) and the ability to learn new technology quickly. â¢	Prior experience with Financial Management System (FMS) is preferred.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","255 Greenwich Street",58577,"generally required","Finance","college degree","qualifications       strong analytical  organizational  and problem solving skills with an emphasis on attention to detail      strong interpersonal skills  and the ability to maintain working relationships      outstanding written and spoken communications skills      ability to work independently as a self motivator and to motivate others      ability to work calmly and proficiently under pressure and to adhere to deadlines      must possess strong technical skills including a proficiency in microsoft office software  excel  word  powerpoint  and the ability to learn new technology quickly      prior experience with financial management system  fms  is preferred "
"BRONX COMMUNITY BOARD #8",1,"Community Coordinator","COMMUNITY COORDINATOR","Non-Competitive-5","00","Constituent Services & Community Programs",54100,83981,"Annual","Bronx Community Board #8","1. A baccalaureate degree from an accredited college and two years of experience in community work or community centered activities in an area related to the duties described above; or  2. High school graduation or equivalent and six years of experience in community work or community centered activities in an area related to the duties as described above; or  3. Education and/or experience which is equivalent to 1 or 2 above. However, all candidates must have at least one year of experience as described in 1 above.","â¢	Cultural sensitivity and competency for a diverse population  â¢	Bilingual (English/Spanish) a plus  â¢	Interest, familiarity and experience with community boards and/or NYC government  â¢	Takes initiative, uses sound judgement and demonstrates service orientation  â¢	Excellent oral and written communications skills   â¢	Computer proficiency including mastery in MS Office, Google Drive, social media and word press websites  â¢	Ability to adapt to change in a fast-paced environment  â¢	Must be a team player and enjoy interacting with people on a daily basis  â¢	Superior organizational skills and keen attention to details, including the ability to effectively juggle multiple projects and meet strict deadlines","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","5676 Riverdale Ave, Bronx",69040.5,"generally required","Constituent Services ","college degree","    cultural sensitivity and competency for a diverse population      bilingual  english spanish  a plus      interest  familiarity and experience with community boards and or nyc government      takes initiative  uses sound judgement and demonstrates service orientation      excellent oral and written communications skills       computer proficiency including mastery in ms office  google drive  social media and word press websites      ability to adapt to change in a fast paced environment      must be a team player and enjoy interacting with people on a daily basis      superior organizational skills and keen attention to details  including the ability to effectively juggle multiple projects and meet strict deadlines"
"DEPT OF ENVIRONMENT PROTECTION",1,"Industrial Hygienist","INDUSTRIAL HYGIENIST","Competitive-1","01","Building Operations & Maintenance",30.76,30.76,"Hourly","BWS-Reservoir Headquarters","1. A baccalaureate degree from an accredited college or university including or supplemented by 28 semester credits in industrial hygiene, environmental health science, occupational health science and/or safety engineering; or    2. A baccalaureate degree from an accredited college or university  including or supplemented by 28 semester credits in the physical or natural sciences, civil engineering, mechanical engineering, environmental engineering, chemical engineering and/or toxicology and one year of satisfactory, full-time experience  in the identification, evaluation and control of health and safety hazards; or    3. A baccalaureate degree from an accredited college or university and two years of satisfactory full-time work experience as described in â2â above; or    4. A combination of education and experience that is the equivalent of the course work and/or experience  described in â1â, â2â, and â3â above. Semester credits from an accredited college or university in industrial hygiene, environmental health science, occupational health science and/or safety engineering may be substituted for experience on the basis of 7 semester credits equals 6 months of experience, up to a maximum of 28 semester credits. Semester credits from an accredited college or university  in the physical or natural sciences, civil engineering, mechanical engineering, environmental engineering, chemical engineering and/or toxicology may be substituted for experience on the basis of 7 semester credits equals 3 months of experience, up to a maximum of 28 semester credits. However, all candidates must have a baccalaureate degree from an accredited college or university.    License Requirements  A Motor Vehicle Driver License valid in the State of New York. This license must be maintained for the duration of employment.    Special Note:    To be eligible for placement in Assignment Level II individuals must have, in addition to meeting the minimum requirements, one year of satisfactory full-time work experience in the identification, evaluation and control of health and safety hazards.","â¢ Excellent supervisory skills  â¢ Good computer skills  â¢ Good organizational skills","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","415 East 203 St, Bronx",30.76,"generally required","Building Operations ","college degree","    excellent supervisory skills      good computer skills      good organizational skills"
"DEPARTMENT OF CORRECTION",1,"AUTO MECHANIC","AUTO MECHANIC","Competitive-1","00","Building Operations & Maintenance",298.24,347.2,"Daily","Transportation - Civilian","1. Five years of full-time satisfactory experience as an auto mechanic; or 2. Not less than two and one-half years of full-time satisfactory experience as specified in 1 above plus sufficient helper or apprentice experience or relevant full-time education acquired in a college, university,technical school, trade school or vocational high school approved by a State's Department of Education or a recognized accrediting organization, to make up the equivalent of five years of acceptable experience. Six months of acceptable experience will be credited for each year of helper or apprentice experience or relevant education.  License Requirements: At the time of appointment candidates must possess a New York State Class B Commercial Driver License (CDL) or a Motor Vehicle Driver License valid in the State of New York and a Learner's Permit for a Class B Commercial Driver License. Appointees hired with a Learner's Permit must obtain the Class B CDL within six months of appointment. The CDL, with no restrictions that would preclude the performance of Auto Mechanic work, must be maintained for the duration of employment.","â¢	Preference will be given to those with a NYS Vehicle Inspectors License for Light, Heavy and Diesel Emissions. â¢	Preference will be given to those with current FDNY Torch and Welding certifications.","New York State residency is required.","Hazen St-Trans. Div., E. Elm,",322.72,"required","Building Operations ","college degree","    preference will be given to those with a nys vehicle inspectors license for light  heavy and diesel emissions      preference will be given to those with current fdny torch and welding certifications "
"DEPT OF CITYWIDE ADMIN SVCS",11,"Special Examiner","SPECIAL EXAMINER (PHYSICAL TES","Pending Classification-2","00","Administration & Human Resources",25.83,25.83,"Hourly","Special Examiners","1. An associateâs degree or higher in Physical Education or a closely related field from an accredited college or university; or 2. A teaching certificate or teaching license in Physical Education; or 3. Two years of satisfactory full-time experience teaching at the college level; or 4. A teaching certificate or teaching license and two years of full-time experience teaching at the high school level; or 5. A valid (non-expired) personal trainer certification certified by one or more of the following:      a. American College of Sports Medicine (ACSM)      b. National Academy of Sports Medicine (NASM)      c. American Council on Exercise (ACE)      d. National Strength and Conditioning Association (NCSA)      e. International Sports Sciences Association (ISSA); or 6. Military service in a branch of the U.S. Armed Forces where you attained a pay grade of E5 or higher and you were responsible for troop readiness including planning and implementing physical fitness regimens; or 7. Three months of experience performing professional work in the administration of a physical test; or 8. A satisfactory combination of education and/or experience equivalent to â1â, â2â, â3â, â4â, â5â, â6â, or â7â above.","â¢ Ability to move about, observe, and record performance of test takers â¢ High level of oral communication skills and interpersonal skills â¢ Ability to work within a team-based atmosphere â¢ Ability to interact with members of the public","New York City Residency is not required for this position","1 Centre St., N.Y.",25.83,"not required","Administration ","college degree","    ability to move about  observe  and record performance of test takers     high level of oral communication skills and interpersonal skills     ability to work within a team based atmosphere     ability to interact with members of the public"
"DEPT OF ENVIRONMENT PROTECTION",4,"Project/Construction Manager","ASSOCIATE PROJECT MANAGER","Competitive-1","01","Engineering, Architecture, & Planning",67757,98128,"Annual","Green Infrastructure","Qualification Requirements One year of full-time satisfactory experience in supervising employees performing project management work, such as planning, administering, managing, coordinating, or expediting, on engineering and/or architectural and/or landscape architectural projects, or supervising a construction project with a value of $1,000,000 or more, and either: 1. A baccalaureate degree from an accredited college or university in engineering, engineering technology, architecture, architectural technology, landscape architecture, business administration, or public administration, and one year of full-time satisfactory experience in project management work, such as planning, administering, managing, coordinating, or expediting, for engineering and/or architectural and/or landscape architectural projects; or 2. A four-year high school diploma or its educational equivalent and five years of experience as described in â1â above; or 3. A four-year high school diploma or its educational equivalent plus any combination of college or university education and/or experience described in â1â above to make up the equivalent of five years of education and experience. One year of experience credit will be given for (a) each 30 semester credits of college or university education leading to a bachelorâs degree from an accredited college or university in engineering, engineering technology, architecture, architectural technology, landscape architecture, business administration or public administration; (b) a Masters degree from an accredited college or university in one of the disciplines described in â1â above; or (c) a valid New York State license as a Professional Engineer, Registered Architect, or Registered Landscape Architect.  Experience which is primarily of a design nature is not acceptable towards meeting the qualification requirements.  4. In addition to meeting the qualification requirements for Assignment Level I, candidates must have at least one additional year of experience as described in 1 above in a supervisory capacity or have served for at least one year as a project manager for a large and/or complex construction project.  5. In addition to meeting the qualification requirements for Assignment Level I, candidates must have at least two additional years of experience as described in 1 above in a supervisory capacity or have served for at least two additional years as a project manager for a large and/or complex construction project.","Experience in green infrastructure performance as stormwater management systems, excellent communication skills and leadership skills. Experience in AutoCAD and GIS  Must have Motor Vehicle Driverâs License valid in the state of New York.   Essential Skills: Work effectively in a team framework. Experience in reviewing, layout and details of contract drawings, specifications, field inspections and investigations as well as managing of construction of public infrastructure projects","New York City Residency is not required for this position","59-17 Junction Blvd Corona Ny",82942.5,"not required","Engineering","master degree","experience in green infrastructure performance as stormwater management systems  excellent communication skills and leadership skills  experience in autocad and gis  must have motor vehicle driver   s license valid in the state of new york    essential skills  work effectively in a team framework  experience in reviewing  layout and details of contract drawings  specifications  field inspections and investigations as well as managing of construction of public infrastructure projects"
"OFFICE OF MANAGEMENT & BUDGET",1,"Analyst  Policy and Operations Research","BUDGET ANALYST (OMB)","Pending Classification-2","01","Finance, Accounting, & Procurement Policy, Research & Analysis",65604,73806,"Annual","Revenue/Economic Anal","1. A baccalaureate degree from an accredited college.","QUALIFICATIONS:   â¢	Proficiency in economic, statistical, and econometric analysis and program evaluation.  â¢	Must possess knowledge of statistical software, (e.g., Stata, R, etc.) and strong computer technology skills and the ability to learn new technology quickly.   â¢	Excellent quantitative, analytical, and communication skills.  â¢	Ability to process, analyze, and present information clearly and effectively.  â¢	Exceptional attention to detail, as well as organizational and research skills.  â¢	Collaborative and team-oriented.  â¢	Capable of working on a wide variety of policy topics, including but not limited to homelessness, public health, and workforce development.   â¢	Ability to work calmly and proficiently under pressure and to adhere to strict deadlines.  â¢	Must be able to work evenings and weekends as needed.   â¢	Must be able to work evenings and weekends as needed.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","255 Greenwich Street",69705,"generally required","Finance","college degree","qualifications        proficiency in economic  statistical  and econometric analysis and program evaluation       must possess knowledge of statistical software   e g   stata  r  etc   and strong computer technology skills and the ability to learn new technology quickly        excellent quantitative  analytical  and communication skills       ability to process  analyze  and present information clearly and effectively       exceptional attention to detail  as well as organizational and research skills       collaborative and team oriented       capable of working on a wide variety of policy topics  including but not limited to homelessness  public health  and workforce development        ability to work calmly and proficiently under pressure and to adhere to strict deadlines       must be able to work evenings and weekends as needed        must be able to work evenings and weekends as needed "
"DEPT OF YOUTH & COMM DEV SRVS",1,"College Aide","COLLEGE AIDE - ASSIGNMENT LEVE","Non-Competitive-5","02","Constituent Services & Community Programs Technology, Data & Innovation",16.02,20.72,"Hourly","SYEP","For Assignment Level I: Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school. For Assignment Level II (Information Technology): Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or closely related field, including or supplemented by 9 semester credits in an acceptable course of study. For Assignment Level III (Information Technology Fellow): Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or other area relevant to the information technology project(s) assigned, including or supplemented by 9 semester credits in an acceptable course of study. Appointments to this Assignment Level will be made by the Technology Steering Committee through the Department of Information Technology and Telecommunications.  SPECIAL NOTE Maximum tenure for all Assignment Levels in the title of College Aide is 6 years. No student shall be employed more than half-time in any week in which classes in which the student is enrolled are in session. Students may be employed full-time during their vacation periods.",NA,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","2 Lafayette St., N.Y.",18.37,"generally required","Constituent Services ","college degree",NA
